,id_match,team_name,tno
414,1102522,BIGUA,2
415,1102522,OLIMPIA,1
416,1102523,HEBRAICA Y MACABI,2
417,1102523,GOES,1
418,1102524,D SPORTING,2
419,1102524,NACIONAL,1
420,1121578,GOES,2
421,1121578,BIGUA,1
422,1125872,URUNDAY UNIVERSITARIO,2
423,1125872,TROUVILLE,1
424,1125873,AGUADA,2
425,1125873,D SPORTING,1
426,1125874,D SPORTING,2
427,1125874,AGUADA,1
428,1125875,OLIMPIA,2
429,1125875,NACIONAL,1
430,1125876,BIGUA,2
431,1125876,MALVIN,1
432,1125877,TROUVILLE,2
433,1125877,URUNDAY UNIVERSITARIO,1
434,1125878,MALVIN,2
435,1125878,BIGUA,1
436,1125879,NACIONAL,2
437,1125879,OLIMPIA,1
438,1128857,BIGUA,2
439,1128857,MALVIN,1
440,1128858,URUNDAY UNIVERSITARIO,2
441,1128858,TROUVILLE,1
442,1128859,D SPORTING,2
443,1128859,AGUADA,1
444,1128860,MALVIN,2
445,1128860,BIGUA,1
446,1130222,OLIMPIA,2
447,1130222,NACIONAL,1
448,1130223,NACIONAL,2
449,1130223,OLIMPIA,1
450,1133298,AGUADA,2
451,1133298,D SPORTING,1
452,1133299,TROUVILLE,2
453,1133299,URUNDAY UNIVERSITARIO,1
454,1133300,OLIMPIA,2
455,1133300,NACIONAL,1
456,1133301,BIGUA,2
457,1133301,MALVIN,1
458,1134298,URUNDAY UNIVERSITARIO,2
459,1134298,TROUVILLE,1
460,1138539,AGUADA,2
461,1138539,NACIONAL,1
462,1138540,URUNDAY UNIVERSITARIO,2
463,1138540,MALVIN,1
464,1138541,NACIONAL,2
465,1138541,AGUADA,1
466,1138542,MALVIN,2
467,1138542,URUNDAY UNIVERSITARIO,1
468,1139091,URUNDAY UNIVERSITARIO,2
469,1139091,MALVIN,1
470,1142299,AGUADA,2
471,1142299,NACIONAL,1
472,1142308,MALVIN,2
473,1142308,URUNDAY UNIVERSITARIO,1
474,1143361,NACIONAL,2
475,1143361,AGUADA,1
